substantiated,mos_age_incident,Officer_Female,Officer_Male,Officer_American Indian,Officer_Asian,Officer_Black,Officer_Hispanic,Officer_White,Captain,Deputy Inspector,Detective,Inspector,Lieutenant,Police Officer,Sergeant,processing_days,Abuse of Authority,Discourtesy,Force,Offensive Language,complainant_age_incident,complainant_Female,complainant_Gender non-conforming,complainant_Male,complainant_Not described,complainant_Transman (FTM),complainant_Transwoman (MTF),complainant_American Indian,complainant_Asian,complainant_Black,complainant_Hispanic,complainant_Other Race,complainant_Refused,complainant_Unknown,complainant_White
0,34,0,1,0,0,0,0,1,0,0,0,0,0,0,1,304,0,0,1,0,40.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,34,0,1,0,0,0,0,1,0,0,0,0,0,0,1,243,1,0,0,0,39.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,35,0,1,0,0,0,0,1,0,0,0,0,0,0,1,304,1,0,0,0,24.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,35,0,1,0,0,0,0,1,0,0,0,0,0,0,1,244,0,0,1,0,24.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,36,0,1,0,0,0,0,1,0,0,0,0,0,0,1,123,0,0,1,0,22.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,36,0,1,0,0,0,0,1,0,0,0,0,0,0,1,123,1,0,0,0,22.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,40,0,1,0,0,0,0,1,0,0,0,0,1,0,0,243,1,0,0,0,50.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,34,0,1,0,0,0,0,1,0,0,0,0,0,1,0,242,1,0,0,0,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,34,0,1,0,0,0,0,1,0,0,0,0,0,1,0,242,1,0,0,0,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,34,0,1,0,0,0,0,1,0,0,0,0,0,1,0,242,0,1,0,0,57.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,37,1,0,0,0,0,1,0,0,0,0,0,0,1,0,334,1,0,0,0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,34,0,1,0,0,0,0,1,0,0,0,0,0,1,0,396,1,0,0,0,17.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,49,0,1,0,0,0,1,0,0,0,0,0,0,1,0,273,0,0,1,0,24.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
